Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004
Country_0,C0,Indicator,I,926328,201062,808673,308163,599438
Country_1,C1,Indicator,I,647339,725692,923976,906528,308956
Country_2,C2,Indicator,I,859520,544919,244272,890603,920539
Country_3,C3,Indicator,I,617197,665678,164618,324634,838264
Country_4,C4,Indicator,I,336196,194640,748504,126798,916716
Country_5,C5,Indicator,I,179310,606044,459213,722961,745174
Country_6,C6,Indicator,I,449518,182144,310270,785280,679829
Country_7,C7,Indicator,I,838914,959025,944561,646505,360184
Country_8,C8,Indicator,I,722303,393464,405149,144151,66011
Country_9,C9,Indicator,I,14259,87080,629365,123712,773769
Country_10,C10,Indicator,I,900355,607485,939940,186509,746830
Country_11,C11,Indicator,I,348792,961531,989617,627168,428175
Country_12,C12,Indicator,I,911917,943040,465179,603069,138576
Country_13,C13,Indicator,I,421743,41784,812964,484402,173628
Country_14,C14,Indicator,I,785318,240393,399588,422265,457927
Country_15,C15,Indicator,I,113522,781152,930314,643580,433637
Country_16,C16,Indicator,I,434058,780243,718116,63856,313108
Country_17,C17,Indicator,I,18580,761960,156626,805381,916601
Country_18,C18,Indicator,I,352518,149986,515058,580515,507922
Country_19,C19,Indicator,I,142551,128307,263330,6537,247994
Country_20,C20,Indicator,I,676100,193147,147278,382518,343537
Country_21,C21,Indicator,I,360878,697441,84367,3440,135433
Country_22,C22,Indicator,I,218490,288987,572138,362876,461124
Country_23,C23,Indicator,I,457185,317684,501676,884531,73746
Country_24,C24,Indicator,I,369171,200413,718737,880012,607074
Country_25,C25,Indicator,I,431550,719359,990770,4921,952475
Country_26,C26,Indicator,I,184578,417941,684631,778498,459310
Country_27,C27,Indicator,I,946865,423922,601889,895808,445846
Country_28,C28,Indicator,I,747010,133303,225492,207786,850844
Country_29,C29,Indicator,I,929909,318515,83122,76633,218890
Country_30,C30,Indicator,I,918900,213182,161877,61383,484052
Country_31,C31,Indicator,I,390266,301505,184589,421484,453345
Country_32,C32,Indicator,I,300963,397783,867061,570160,15670
Country_33,C33,Indicator,I,300899,292932,543888,609146,876749
Country_34,C34,Indicator,I,34446,245030,16798,38527,803324
Country_35,C35,Indicator,I,823246,882457,447729,592184,314677
Country_36,C36,Indicator,I,358387,667703,281676,585217,71905
Country_37,C37,Indicator,I,314224,924298,743362,158166,150765
Country_38,C38,Indicator,I,68397,364706,122654,139318,736730
Country_39,C39,Indicator,I,170723,307141,975718,356264,927982
Country_40,C40,Indicator,I,930588,66390,106940,251116,71609
Country_41,C41,Indicator,I,824007,515726,693035,957631,147358
Country_42,C42,Indicator,I,239742,122980,524421,726461,327476
Country_43,C43,Indicator,I,761788,435054,672377,784517,236206
Country_44,C44,Indicator,I,493056,497111,544836,542443,110181
Country_45,C45,Indicator,I,157907,609157,713392,492332,149899
Country_46,C46,Indicator,I,82608,315667,480439,189977,330619
Country_47,C47,Indicator,I,809154,248941,61442,899367,46394
Country_48,C48,Indicator,I,844599,985771,972317,741871,868041
Country_49,C49,Indicator,I,806960,374508,379822,939147,928618
Country_50,C50,Indicator,I,399076,24076,326134,778961,695806
Country_51,C51,Indicator,I,117367,960086,514995,378438,186604
Country_52,C52,Indicator,I,845271,656107,675693,918570,34392
Country_53,C53,Indicator,I,574396,339465,335082,116210,723768
Country_54,C54,Indicator,I,459863,288484,422245,150778,77761
Country_55,C55,Indicator,I,582613,750967,508749,799523,503730
Country_56,C56,Indicator,I,17760,148089,503782,985687,527451
Country_57,C57,Indicator,I,852704,88196,448873,2977,589406
Country_58,C58,Indicator,I,881831,654319,399698,486195,566834
Country_59,C59,Indicator,I,869582,371552,819300,799010,495044
Country_60,C60,Indicator,I,713163,730666,690094,670036,188354
Country_61,C61,Indicator,I,365508,552967,791919,215053,976981
Country_62,C62,Indicator,I,131844,85210,979057,708661,575175
Country_63,C63,Indicator,I,495555,34976,794487,55186,425558
Country_64,C64,Indicator,I,366401,936254,323934,300005,880626
Country_65,C65,Indicator,I,958167,975124,499165,195764,241492
Country_66,C66,Indicator,I,415840,995749,648586,964746,16272
Country_67,C67,Indicator,I,134171,430306,35652,561645,367254
Country_68,C68,Indicator,I,609456,492902,450193,622577,489432
Country_69,C69,Indicator,I,239467,925677,972283,811269,70358
Country_70,C70,Indicator,I,289861,380457,42004,269801,527819
Country_71,C71,Indicator,I,974900,597361,483227,839258,524125
Country_72,C72,Indicator,I,917979,926703,618269,651676,507661
Country_73,C73,Indicator,I,723179,423531,920720,800741,326294
Country_74,C74,Indicator,I,925235,182146,483960,136890,996451
Country_75,C75,Indicator,I,348909,17230,312406,346950,503674
Country_76,C76,Indicator,I,291313,382378,764180,46260,617195
Country_77,C77,Indicator,I,740713,857900,544089,421051,804462
Country_78,C78,Indicator,I,455128,146212,913137,568674,388261
Country_79,C79,Indicator,I,694017,622296,494047,594507,84950
Country_80,C80,Indicator,I,676545,350574,322239,364609,304383
Country_81,C81,Indicator,I,379940,721788,633180,209600,508254
Country_82,C82,Indicator,I,156877,321465,66058,595438,93483
Country_83,C83,Indicator,I,9886,227923,470852,121802,883000
Country_84,C84,Indicator,I,448382,613600,907304,694024,810180
Country_85,C85,Indicator,I,20812,154655,977896,979813,812041
Country_86,C86,Indicator,I,377427,292952,128429,947944,436892
Country_87,C87,Indicator,I,286415,434795,715870,73719,484234
Country_88,C88,Indicator,I,773761,475992,204249,233959,17619
Country_89,C89,Indicator,I,936712,598614,622009,170890,334445
Country_90,C90,Indicator,I,7059,855632,25901,399387,474083
Country_91,C91,Indicator,I,927497,689015,517843,635797,3289
Country_92,C92,Indicator,I,581093,572999,608419,819657,128986
Country_93,C93,Indicator,I,892690,627009,297280,877656,641863
Country_94,C94,Indicator,I,904022,672512,38693,582667,479972
Country_95,C95,Indicator,I,727850,860036,631044,96885,496918
Country_96,C96,Indicator,I,393784,476234,491135,305678,170185
Country_97,C97,Indicator,I,558886,547503,842833,46438,774523
Country_98,C98,Indicator,I,846030,693029,923611,722917,548407
Country_99,C99,Indicator,I,792310,423496,276506,287102,930106
Country_100,C100,Indicator,I,532640,744425,487871,461420,244971
Country_101,C101,Indicator,I,356958,977373,915229,135856,512799
Country_102,C102,Indicator,I,296720,635494,972299,15841,545475
Country_103,C103,Indicator,I,943922,358324,203315,612220,632670
Country_104,C104,Indicator,I,199075,609231,572202,963425,40904
Country_105,C105,Indicator,I,773352,306942,721144,595005,574925
Country_106,C106,Indicator,I,996925,505012,123401,357745,505341
Country_107,C107,Indicator,I,352939,787194,300659,967462,79967
Country_108,C108,Indicator,I,280086,610761,716883,801417,936102
Country_109,C109,Indicator,I,689814,353412,192207,851750,219916
Country_110,C110,Indicator,I,684897,861918,680060,669701,605223
Country_111,C111,Indicator,I,383737,638297,414490,380522,299626
Country_112,C112,Indicator,I,330352,565305,180208,542595,270704
Country_113,C113,Indicator,I,839257,340013,690116,792851,370226
Country_114,C114,Indicator,I,993506,784240,19008,212096,401690
Country_115,C115,Indicator,I,890615,188482,185094,873469,226810
Country_116,C116,Indicator,I,625424,928277,710696,368490,491280
Country_117,C117,Indicator,I,431102,17863,366101,89661,486173
Country_118,C118,Indicator,I,774685,658721,317405,902626,695127
Country_119,C119,Indicator,I,916582,293874,733580,567473,546245
Country_120,C120,Indicator,I,133158,479977,510152,696586,648062
Country_121,C121,Indicator,I,758180,524196,110440,644228,924261
Country_122,C122,Indicator,I,779138,463673,606453,460379,351797
Country_123,C123,Indicator,I,863137,512952,87867,555957,855722
Country_124,C124,Indicator,I,703329,466432,403828,616269,331192
Country_125,C125,Indicator,I,36192,243620,577260,535186,323854
Country_126,C126,Indicator,I,837921,222118,194869,556022,461970
Country_127,C127,Indicator,I,297255,704510,38230,617591,526100
Country_128,C128,Indicator,I,176963,504987,432186,133890,718578
Country_129,C129,Indicator,I,242640,881531,934539,889471,343348
Country_130,C130,Indicator,I,16080,206938,186034,688191,467900
Country_131,C131,Indicator,I,334888,10985,645000,483391,969443
Country_132,C132,Indicator,I,848790,512448,470225,157730,12142
Country_133,C133,Indicator,I,668045,988390,38924,588509,615477
Country_134,C134,Indicator,I,678030,828620,358390,2623,937003
Country_135,C135,Indicator,I,611491,138529,880991,371465,564564
Country_136,C136,Indicator,I,688438,255557,460122,371630,842434
Country_137,C137,Indicator,I,620610,803755,404533,571600,705458
Country_138,C138,Indicator,I,287990,944650,951597,174796,437479
Country_139,C139,Indicator,I,133006,985966,344741,607140,781203
Country_140,C140,Indicator,I,658239,648759,798848,517607,773404
