Operation,Model,Dataset_Size,Records,Threads,Time_us,Speedup_vs_Serial,Efficiency_Percent
Temporal_Aggregation,Row,Small,26647,1,34.25,1.00,100.0
Temporal_Aggregation,Row,Small,26647,8,65.46,0.52,6.5
Temporal_Aggregation,Column,Small,26647,1,12.08,1.00,100.0
Temporal_Aggregation,Column,Small,26647,8,53.71,0.30,3.7
Temporal_Aggregation,Row,Large,2334535,1,7493.75,1.00,100.0
Temporal_Aggregation,Row,Large,2334535,8,5200.33,1.44,18.0
Temporal_Aggregation,Column,Large,2334535,1,21.71,1.00,100.0
Temporal_Aggregation,Column,Large,2334535,8,72.83,0.30,3.8
TopN_Stations,Row,Small,26647,1,44.17,1.00,100.0
TopN_Stations,Row,Small,26647,8,32.04,1.38,17.2
TopN_Stations,Column,Small,26647,1,22.58,1.00,100.0
TopN_Stations,Column,Small,26647,8,14.25,1.58,19.8
TopN_Stations,Row,Large,2334535,1,7295.75,1.00,100.0
TopN_Stations,Row,Large,2334535,8,7492.96,0.97,12.1
TopN_Stations,Column,Large,2334535,1,144.21,1.00,100.0
TopN_Stations,Column,Large,2334535,8,80.50,1.79,22.4
